Title,Price,Depreciation/Yr,Registration Date,Engine Capacity,Mileage/Km,Vehicle Type
Mercedes-Benz B-Class B180,"$22,800","$16,780 /yr",31-Oct-2014,"1,595 cc","92,000 km",Hatchback
Nissan NV350 Microbus 2.5M,"$15,800",N.A,25-Nov-2014,"2,488 cc",-,Bus
Mitsubishi Fuso Canter FEB21,"$67,800","$78,070 /yr",06-Nov-2014,"2,998 cc",-,Truck
Toyota Hiace 2.8A DX,"$81,800","$14,800 /yr",04-Jul-2019,"2,754 cc","83,000 km",Van
Isuzu NHR87A,"$74,800","$12,660 /yr",19-Nov-2019,"1,898 cc","80,000 km",Truck
Toyota Hiace Commuter 3.0A GL (COE till 11/2028),"$65,000","$13,280 /yr",14-Nov-2008,"2,982 cc",-,Bus
Hyundai Avante 1.6A S,"$95,800","$13,080 /yr",23-Sep-2020,"1,591 cc","71,000 km",Sedan
Nissan GKB45 (COE till 09/2027),"$69,800","$18,520 /yr",06-Dec-2012,"13,074 cc",-,Truck
Toyota Dyna 150 3.0M,"$58,800","$18,680 /yr",16-Feb-2017,"2,982 cc",-,Truck
Lexus ES250 Luxury Sunroof,"$154,800","$22,450 /yr",25-Jul-2019,"2,487 cc","93,000 km",Luxury
Mercedes-Benz GLA-Class GLA200 AMG Line Premium,"$207,777","$20,720 /yr",01-Dec-2022,"1,332 cc","15,000 km",SUV
Isuzu NPR75,"$42,800","$19,880 /yr",18-Feb-2016,"5,193 cc","51,443 km",Truck
Nissan Leaf Electric,"$153,800","$15,890 /yr",26-Aug-2023,-,"7,505 km",Hatchback
BMW 4 Series 420i Coupe M-Sport,"$196,800","$23,000 /yr",12-Mar-2021,"1,998 cc","25,223 km",Sports
Lamborghini Aventador LP700-4 (COE till 12/2031),"$559,555","$69,730 /yr",12-Jan-2012,"6,498 cc","40,000 km",Sports
Porsche 911 Carrera 3.0A PDK,"$338,000","$69,930 /yr",23-Jun-2017,"2,981 cc","23,800 km",Sports
Suzuki Swift 1.3A (COE till 08/2027),"$48,800","$13,330 /yr",22-Aug-2007,"1,328 cc",-,Hatchback
BMW X3 sDrive20i,"$99,988","$22,280 /yr",03-Aug-2017,"1,997 cc","115,093 km",SUV
BMW 3 Series 320i Convertible (COE till 08/2030),"$83,800","$12,590 /yr",20-Aug-2010,"1,995 cc","168,000 km",Sports
BMW 2 Series 216i Gran Tourer,"$123,800","$17,610 /yr",18-Dec-2019,"1,499 cc","89,445 km",Luxury
Mercedes-Benz CLA-Class CLA200 (New 5-yr COE),"$95,000","$18,980 /yr",16-Jan-2014,"1,595 cc","121,911 km",Luxury
Lexus IS250 Luxury (COE till 10/2028),"$60,800","$12,640 /yr",15-Oct-2008,"2,500 cc",-,Luxury
Porsche Panamera 4S 4.8A PDK (COE till 08/2030),"$139,800","$20,900 /yr",23-Sep-2010,"4,806 cc","77,990 km",Sports
Lexus NX Hybrid NX300h Luxury Sunroof,"$148,000","$22,200 /yr",15-Feb-2019,"2,494 cc","53,000 km",SUV
Lexus UX200 Luxury,"$155,800","$19,660 /yr",30-Sep-2020,"1,987 cc","40,500 km",SUV
Volkswagen Polo 1.0A TSI Comfortline Beats,"$96,800","$13,020 /yr",14-Jul-2020,999 cc,"22,000 km",Hatchback
